date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:32	163822/163822	---M-Z	200	added ('OK')	text/html	etag:%22155e1334-27fee-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-content.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-content.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:32	27172/27172	---M-Z	200	added ('OK')	text/html	etag:%22155e134f-6a24-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-ui-kit-icons.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-ui-kit-icons.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:32	30531/30531	---M-Z	200	added ('OK')	text/html	etag:%22155e12fa-7743-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-card.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-card.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:33	23489/23489	---M-Z	200	added ('OK')	text/html	etag:%22155e1322-5bc1-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-lists.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-lists.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:33	30926/30926	---M-Z	200	added ('OK')	text/html	etag:%22155e131a-78ce-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-button.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-button.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:33	24432/24432	---M-Z	200	added ('OK')	text/html	etag:%22155e1325-5f70-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-ng-buttons.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-ng-buttons.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:33	24084/24084	---M-Z	200	added ('OK')	text/html	etag:%22155e1318-5e14-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-alerts.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-alerts.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:34	27253/27253	---M-Z	200	added ('OK')	text/html	etag:%22155e1319-6a75-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-badges.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-badges.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:35	24312/24312	---M-Z	200	added ('OK')	text/html	etag:%22155e1320-5ef8-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-dropdowns.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-dropdowns.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:36	24902/24902	---M-Z	200	added ('OK')	text/html	etag:%22155e1323-6146-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-media-objects.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-components-media-objects.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
